"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
1;10;0;"t_test";1;0,049;0,906
1;10;0;"wilcoxon";1;0,0448;0,906
1;10;0;"perverso";1;0,0504;0,906
1;10;0;"t_test";4;0,0494;0,9027
1;10;0;"wilcoxon";4;0,0503;0,9027
1;10;0;"perverso";4;0,0523;0,9027
1;10;0;"t_test";16;0,0534;0,9042
1;10;0;"wilcoxon";16;0,0676;0,9042
1;10;0;"perverso";16;0,0586;0,9042
1;10;0,2;"t_test";1;0,0701;0,9021
1;10;0,2;"wilcoxon";1;0,0624;0,9021
1;10;0,2;"perverso";1;0,0716;0,9021
1;10;0,2;"t_test";4;0,057;0,9025
1;10;0,2;"wilcoxon";4;0,0582;0,9025
1;10;0,2;"perverso";4;0,0602;0,9025
1;10;0,2;"t_test";16;0,0549;0,907
1;10;0,2;"wilcoxon";16;0,0714;0,907
1;10;0,2;"perverso";16;0,0604;0,907
1;10;0,5;"t_test";1;0,1843;0,9038
1;10;0,5;"wilcoxon";1;0,1647;0,9038
1;10;0,5;"perverso";1;0,1854;0,9038
1;10;0,5;"t_test";4;0,1026;0,9049
1;10;0,5;"wilcoxon";4;0,1003;0,9049
1;10;0,5;"perverso";4;0,1067;0,9049
1;10;0,5;"t_test";16;0,0671;0,9069
1;10;0,5;"wilcoxon";16;0,0817;0,9069
1;10;0,5;"perverso";16;0,0714;0,9069
1;20;0;"t_test";1;0,0468;0,8982
1;20;0;"wilcoxon";1;0,0479;0,8982
1;20;0;"perverso";1;0,0488;0,8982
1;20;0;"t_test";4;0,0521;0,8985
1;20;0;"wilcoxon";4;0,0589;0,8985
1;20;0;"perverso";4;0,0558;0,8985
1;20;0;"t_test";16;0,0501;0,9011
1;20;0;"wilcoxon";16;0,0731;0,9011
1;20;0;"perverso";16;0,0579;0,9011
1;20;0,2;"t_test";1;0,0971;0,9029
1;20;0,2;"wilcoxon";1;0,0953;0,9029
1;20;0,2;"perverso";1;0,0988;0,9029
1;20;0,2;"t_test";4;0,0681;0,9094
1;20;0,2;"wilcoxon";4;0,0763;0,9094
1;20;0,2;"perverso";4;0,0718;0,9094
1;20;0,2;"t_test";16;0,0576;0,9005
1;20;0,2;"wilcoxon";16;0,0799;0,9005
1;20;0,2;"perverso";16;0,0653;0,9005
1;20;0,5;"t_test";1;0,3402;0,9039
1;20;0,5;"wilcoxon";1;0,3221;0,9039
1;20;0,5;"perverso";1;0,3408;0,9039
1;20;0,5;"t_test";4;0,162;0,9015
1;20;0,5;"wilcoxon";4;0,1657;0,9015
1;20;0,5;"perverso";4;0,1666;0,9015
1;20;0,5;"t_test";16;0,0853;0,9013
1;20;0,5;"wilcoxon";16;0,1089;0,9013
1;20;0,5;"perverso";16;0,0925;0,9013
1;50;0;"t_test";1;0,049;0,9002
1;50;0;"wilcoxon";1;0,0477;0,9002
1;50;0;"perverso";1;0,0494;0,9002
1;50;0;"t_test";4;0,0493;0,8974
1;50;0;"wilcoxon";4;0,0559;0,8974
1;50;0;"perverso";4;0,0533;0,8974
1;50;0;"t_test";16;0,0503;0,9003
1;50;0;"wilcoxon";16;0,0793;0,9003
1;50;0;"perverso";16;0,0578;0,9003
1;50;0,2;"t_test";1;0,1627;0,9024
1;50;0,2;"wilcoxon";1;0,1601;0,9024
1;50;0,2;"perverso";1;0,1635;0,9024
1;50;0,2;"t_test";4;0,096;0,9037
1;50;0,2;"wilcoxon";4;0,1034;0,9037
1;50;0,2;"perverso";4;0,0987;0,9037
1;50;0,2;"t_test";16;0,0618;0,9017
1;50;0,2;"wilcoxon";16;0,0879;0,9017
1;50;0,2;"perverso";16;0,0671;0,9017
1;50;0,5;"t_test";1;0,7003;0,9069
1;50;0,5;"wilcoxon";1;0,6801;0,9069
1;50;0,5;"perverso";1;0,7003;0,9069
